Kia Mohave (Borrego),$ 64 000,https://im.mashina.kg/tachka/images//0/9/b/09b13a90494f267fc3d17d1738e46091_240x180.jpg,2023г. 3л. автоматвнедорожник5дв. дизельрульслева
Hyundai Sonata,$ 13 600,https://im.mashina.kg/tachka/images//1/7/4/17459a1aa65d1a8940206c7654ae046e_240x180.jpg,2018г. 2л. автоматседан газрульслева 118000км
Hyundai Sonata,$ 30 300,https://im.mashina.kg/tachka/images//7/4/b/74b2aaed362b651f4d80d6d2ffb6f6b6_240x180.jpg,2021г. 1.6л. автоматседан бензинрульслева 58000км
Mercedes-Benz C-Класс,$ 29 900,https://im.mashina.kg/tachka/images//0/0/7/00710e8445012c3bb25ca0cf2d9eef8e_240x180.jpg,2017г. 2л. автоматседан бензинрульслева 86000км
BMW X6,$ 39 900,https://im.mashina.kg/tachka/images//4/4/9/449b2b3bc3722ba357be17d46ada2f48_240x180.jpg,2015г. 3л. автоматвнедорожник5дв. дизельрульслева 200000км
BMW X7,$ 106 000,https://im.mashina.kg/tachka/images//4/b/3/4b30d35a91526dad19defdbfc3aac981_240x180.jpg,2021г. 3л. автоматвнедорожник5дв. бензинрульслева 60000км
Kia Morning,$ 10 800,https://im.mashina.kg/tachka/images//a/4/f/a4f5cce4e5afb4d8bfe09ab5667c672e_240x180.jpg,2017г. 1л. автоматхэтчбек5дв. бензинрульслева 100000км
BMW 7 серии,$ 45 000,https://im.mashina.kg/tachka/images//2/e/9/2e9c924bb4eefb2594198236d6cc33be_240x180.jpg,2016г. 3л. автоматседан дизельрульслева 75000км
Lexus CT,$ 13 900,https://im.mashina.kg/tachka/images//f/c/9/fc90929bf8758dc49218e147f2916170_240x180.jpg,2012г. 1.8л. вариаторхэтчбек5дв. гибридрульслева 157000км
Kia K5 III Седан,$ 36 000,https://im.mashina.kg/tachka/images//6/d/b/6dbaa894e9a973895c652149fce97c35_240x180.jpg,2020г. 2л. автоматседан бензинрульслева 28000км
Audi Q7,$ 52 000,https://im.mashina.kg/tachka/images//b/7/3/b732dc8b6f151da69651c558b65b61f8_240x180.jpg,2017г. 3л. автоматвнедорожник5дв. бензинрульслева 142000км
Lexus RX,$ 52 000,https://im.mashina.kg/tachka/images//e/0/8/e081ef3ab5eae023d4e0e35ff20c8aab_240x180.jpg,2018г. 3.5л. вариаторвнедорожник5дв. гибридрульслева 110000км
Toyota Camry,$ 8 600,https://im.mashina.kg/tachka/images//0/5/8/0585062696f6bc7ecf97dee6bd6f47c9_240x180.jpg,2004г. 3л. автоматседан бензинрульслева 280000км
BMW X5,$ 65 000,https://im.mashina.kg/tachka/images//0/5/5/055a56bd092d61336d21aac2187edf8d_240x180.jpg,2019г. 3л. автоматвнедорожник5дв. дизельрульслева 11000км
Mazda 2,$ 12 800,https://im.mashina.kg/tachka/images//1/9/1/1917ca127fe57e89d82c7a5c79409f39_240x180.jpg,2017г. 1.5л. автоматхэтчбек5дв. бензинрульслева 37800км
Honda Accord,$ 7 600,https://im.mashina.kg/tachka/images//6/c/3/6c371ec5c3a7ea1c55eee2de6e6c15a6_240x180.jpg,2005г. 2.4л. автоматседан бензинрульслева 325000км
BMW X5,$ 125 000,https://im.mashina.kg/tachka/images//b/6/6/b66381e8ec9f86db62540edb16e960b6_240x180.jpg,2022г. 3л. автоматвнедорожник5дв. гибридрульслева 11км
Toyota Camry (Japan),$ 12 500,https://im.mashina.kg/tachka/images//5/8/7/587ce43e1078f320b58605f2caca8318_240x180.jpg,2004г. 2.4л. автоматседан бензинрульсправа 100720км
Toyota RAV4,$ 23 500,https://im.mashina.kg/tachka/images//9/b/1/9b1bff26a976654ddef5effb8cdca737_240x180.jpg,2016г. 2.5л. вариаторвнедорожник5дв. гибридрульслева 120000км
Hyundai Sonata,$ 17 500,https://im.mashina.kg/tachka/images//d/7/a/d7a5b7a8d76f23055677bdb5272daeee_240x180.jpg,2018г. 2л. автоматседан газрульслева 146000км
Toyota RAV4,$ 38 500,https://im.mashina.kg/tachka/images//8/2/f/82fa8e64b96369a9c264aa80b2a7ff99_240x180.jpg,2019г. 2.5л. вариаторвнедорожник5дв. гибридрульслева 20236км
